k,error,accuracy
815,1804,79.99556442670215
817,1804,79.99556442670215
819,1804,79.99556442670215
821,1805,79.98447549345752
823,1805,79.98447549345752
825,1804,79.99556442670215
827,1804,79.99556442670215
829,1803,80.00665335994678
831,1803,80.00665335994678
833,1803,80.00665335994678
835,1804,79.99556442670215
837,1804,79.99556442670215
839,1804,79.99556442670215
841,1804,79.99556442670215
843,1804,79.99556442670215
845,1804,79.99556442670215
847,1804,79.99556442670215
849,1802,80.01774229319139
851,1802,80.01774229319139
853,1802,80.01774229319139
855,1803,80.00665335994678
857,1804,79.99556442670215
859,1805,79.98447549345752
861,1804,79.99556442670215
863,1803,80.00665335994678
865,1803,80.00665335994678
867,1804,79.99556442670215
869,1804,79.99556442670215
871,1804,79.99556442670215
873,1804,79.99556442670215
875,1804,79.99556442670215
877,1803,80.00665335994678
879,1802,80.01774229319139
881,1802,80.01774229319139
883,1802,80.01774229319139
885,1802,80.01774229319139
887,1802,80.01774229319139
889,1803,80.00665335994678
891,1803,80.00665335994678
893,1803,80.00665335994678
895,1804,79.99556442670215
897,1804,79.99556442670215
899,1805,79.98447549345752
901,1804,79.99556442670215
903,1805,79.98447549345752
905,1804,79.99556442670215
907,1803,80.00665335994678
909,1803,80.00665335994678
911,1803,80.00665335994678
913,1802,80.01774229319139
915,1801,80.02883122643601
917,1801,80.02883122643601
919,1802,80.01774229319139
921,1802,80.01774229319139
923,1806,79.97338656021292
925,1807,79.96229762696828
927,1807,79.96229762696828
929,1807,79.96229762696828
931,1809,79.94011976047905
933,1809,79.94011976047905
935,1809,79.94011976047905
937,1808,79.95120869372366
939,1808,79.95120869372366
941,1809,79.94011976047905
943,1809,79.94011976047905
945,1808,79.95120869372366
947,1808,79.95120869372366
949,1808,79.95120869372366
951,1808,79.95120869372366
953,1807,79.96229762696828
955,1807,79.96229762696828
957,1807,79.96229762696828
959,1807,79.96229762696828
961,1807,79.96229762696828
963,1807,79.96229762696828
965,1807,79.96229762696828
967,1808,79.95120869372366
969,1809,79.94011976047905
971,1809,79.94011976047905
973,1809,79.94011976047905
975,1809,79.94011976047905
977,1809,79.94011976047905
979,1810,79.92903082723441
981,1810,79.92903082723441
983,1810,79.92903082723441
985,1811,79.91794189398979
987,1809,79.94011976047905
989,1808,79.95120869372366
991,1808,79.95120869372366
993,1807,79.96229762696828
995,1807,79.96229762696828
997,1808,79.95120869372366
999,1809,79.94011976047905
1001,1809,79.94011976047905
1003,1804,79.99556442670215
1005,1807,79.96229762696828
1007,1807,79.96229762696828
1009,1807,79.96229762696828
1011,1804,79.99556442670215
1013,1803,80.00665335994678
1015,1803,80.00665335994678
1017,1803,80.00665335994678
1019,1804,79.99556442670215
1021,1804,79.99556442670215
1023,1804,79.99556442670215
1025,1804,79.99556442670215
1027,1804,79.99556442670215
1029,1803,80.00665335994678
1031,1802,80.01774229319139
1033,1802,80.01774229319139
1035,1801,80.02883122643601
1037,1799,80.05100909292526
1039,1799,80.05100909292526
1041,1798,80.06209802616988
1043,1798,80.06209802616988
1045,1798,80.06209802616988
1047,1798,80.06209802616988
1049,1799,80.05100909292526
1051,1798,80.06209802616988
1053,1799,80.05100909292526
1055,1799,80.05100909292526
1057,1799,80.05100909292526
